feature,coefficient,odds_ratio_per_scaled_unit,absolute_coefficient
sqrt_Active,1.4298867675228455,4.178226054250242,1.4298867675228455
Ownrent,-0.6194549352466105,0.5382377320718689,0.6194549352466105
log1p_Cur_add,0.6113507474665537,1.8429190365378776,0.6113507474665537
log1p_Inc_per,0.38527863920642846,1.4700238706650122,0.38527863920642846
Age,0.31916597933116636,1.3759796901422288,0.31916597933116636
log1p_Income,0.21470280030657687,1.239493465142021,0.21470280030657687
Major,0.05173205835765013,1.053093537095884,0.05173205835765013
Selfempl,0.024622355026047187,1.0249279885262725,0.024622355026047187
Depndt,-0.021180945489833132,0.9790417953437313,0.021180945489833132
